"Name","Variable","Immediate.Z1","Short.Term.Z1","Long.Term.Z1","Immediate.Z2","Short.Term.Z2","Long.Term.Z2"
"Macroeconomic","c",0,0,0,0,0,0
"Macroeconomic","va",0,0,0,0,0,0
"Macroeconomic","go",0,0,0,0,0,0
"Macroeconomic","id",0,0,0,0,0,0
"Macroeconomic","gdef",0.06,0.11,0.22,0.02,0.17,0.3
"Macroeconomic","cab",0.02,0.07,0.12,0.02,0.07,0.12
"Macroeconomic","tb",0.02,0.05,0.06,0.02,0.05,0.06
"Social","n",0,0,0,0,0,0
"Social","nf",0,0,0,0,0,0
"Social","shp",0,0,0,0,0,0
"Social","shw",0,0,0,0,0,0
"Debt.and.Wealth","lh",0,0,0,0,0,0
"Debt.and.Wealth","lf",0,0,-0.01,0,0,0
"Debt.and.Wealth","v",0,0,0,0,0,0
"Debt.and.Wealth","k",0,0,0,0,0,0
"Debt.and.Wealth","b_s",0,0,-0.01,0,0,0
"Ecological","x_mat",-0.02,-0.06,-0.09,0,0,0
"Ecological","land",0,0,0,0,0,0
"Ecological","mat",-0.04,-0.11,-0.17,0,0,0
"Ecological","rec",0,0.01,0.01,0,0,0
"Ecological","emis",0,0,0,0,0,0
"Ecological","wa",0,0,0,0,0,0
"Ecological","water",0,0,0,0,0,0
